|year|insurer_ref|insurer_name|Description|Row No.|Marine and Aviation - Cargo|Marine and Aviation Hull and Liability|Fire|Motor|Work Injury Compensation|Personal Accident|Health|Misc - Public Liability|Misc - Bonds|Misc - Engineering/CAR/EAR|Misc - Professional Indemnity|Misc - Credit/Political Risk|Misc - Others|Misc - Sub-Total|Total
33|2005|I846G|SHC CAPITAL LIMITED|G. OPERATING RESULT|34|-13946|60446|18138|1320087|-643084|20042|-94156|12295|367746|-266139|19142|0|206122|339166|1006693
34|2005|I846G|SHC CAPITAL LIMITED|Net Loss Ratio|35|0.23297261350583398|0.06403508771929825|0.4102323343628265|1.1085391728491227|0.8643487045781111|0.0031434241594599684|0.0|0.2114204860286551|-0.19196042190076698|-0.0007892342261481037|0.0|0|0.448050307489432|0.10273572403573374|0.8001747369356743
35|2005|I846G|SHC CAPITAL LIMITED|Movement in Net Claims Liabilities|36|36311|-59163|-266656|-4620697|-506272|-5394|2594|-108578|-105917|29785|1608|0|-200596|-383698|-5802975
|year|insurer_ref|insurer_name|Description|Row No.|Marine and Aviation - Cargo|Marine and Aviation Hull and Liability|Fire|Motor|Work Injury Compensation|Personal Accident|Health|Misc - Public Liability|Misc - Bonds|Misc - Engineering/CAR/EAR|Misc - Professional Indemnity|Misc - Credit/Political Risk|Misc - Others|Misc - Sub-Total|Total
0|2006|I846G|SHC CAPITAL LIMITED|GWP - Direct business|1|483911|89717|471769|8274403|3324881|185447|95164|937208|5537227|1948247|54811|0|533435|9010928|21936220
1|2006|I846G|SHC CAPITAL LIMITED|GWP - RI accepted in Singapore|2|29649|16224|49125|0|63877|1875|0|4529|115559|86162|840|0|13731|220821|381571
2|2006|I846G|SHC CAPITAL LIMITED|GWP - RI accepted from other ASEAN countries|3|0|0|7482|0|0|0|0|0|0|0|0|0|780|780|8262
3|2006|I846G|SHC CAPITAL LIMITED|GWP - RI accepted from other countries|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
4|2006|I846G|SHC CAPITAL LIMITED|GWP - Total (2 to 4)|5|29649|16224|56607|0|63877|1875|0|4529|115559|86162|840|0|14511|221601|389833
5|2006|I846G|SHC CAPITAL LIMITED|RI ceded - In Singapore|6|157626|49741|254287|988305|477859|73146|10823|171282|3013952|1312957|47663|0|189315|4735169|6746956
6|2006|I846G|SHC CAPITAL LIMITED|RI ceded - To other ASEAN countries|7|0|0|16733|51234|20581|5037|0|4856|122840|79173|0|0|13156|220025|313610
7|2006|I846G|SHC CAPITAL LIMITED|RI ceded - To other countries|8|18335|5383|26723|0|0|8620|1610|0|194129|116704|0|0|22641|333474|394145
8|2006|I846G|SHC CAPITAL LIMITED|RI ceded - Total (6 to 8)|9|175961|55124|297743|1039539|498440|86803|12433|176138|3330921|1508834|47663|0|225112|5288668|7454711
9|2006|I846G|SHC CAPITAL LIMITED|Net premiums written|10|337599|50817|230633|7234864|2890318|100519|82731|765599|2321865|525575|7988|0|322834|3943861|14871342
10|2006|I846G|SHC CAPITAL LIMITED|Premium liabilities at beginning of period|11|83393|13868|74085|2246606|1046920|25260|5371|286230|315452|185128|689|0|131623|919122|4414625
11|2006|I846G|SHC CAPITAL LIMITED|Premium liabilities at end of period|12|68560|12367|101483|3732901|2014751|22794|20864|235505|859590|160390|-160|0|68000|1323325|7297045
12|2006|I846G|SHC CAPITAL LIMITED|Premiums earned during the period|13|352432|52318|203235|5748569|1922487|102985|67238|816324|1777727|550313|8837|0|386457|3539658|11988922
13|2006|I846G|SHC CAPITAL LIMITED|Gross claims settled - Direct business|14|217418|3816|275508|3776751|2582454|3295|8636|153688|481107|182416|10776|0|-11611|816376|7684254
14|2006|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI accepted in Singapore|15|-14|218|32618|0|76589|0|0|59988|-17979|46168|0|0|-300|87877|197288
15|2006|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI accepted from other ASEAN countries|16|0|0|0|0|0|0|0|0|0|118|0|0|578|696|696
16|2006|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI accepted from other countries|17|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
17|2006|I846G|SHC CAPITAL LIMITED|Gross claims settled - Total (15 to 17)|18|-14|218|32618|0|76589|0|0|59988|-17979|46286|0|0|278|88573|197984
18|2006|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI recoveries from business ceded in Singapore|19|44344|1823|147122|356281|307324|1183|432|74443|372556|142131|10614|0|14839|614583|1473092
19|2006|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI recoveries from business ceded to other ASEAN countries|20|0|0|8722|15737|0|78|0|0|45027|32597|0|0|381|78005|102542
20|2006|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI recoveries from business ceded to other countries|21|3720|181|14166|-796|0|121|0|0|17640|12413|0|0|1704|31757|49149
21|2006|I846G|SHC CAPITAL LIMITED|Gross claims settled - Total (19 to 21)|22|48064|2004|170010|371222|307324|1382|432|74443|435223|187141|10614|0|16924|724345|1624783
22|2006|I846G|SHC CAPITAL LIMITED|Net claims settled|23|169340|2030|138116|3405529|2351719|1913|8204|139233|27905|41561|162|0|-28257|180604|6257455
23|2006|I846G|SHC CAPITAL LIMITED|Claims liabilities at end of period|24|225000|78000|197000|10275000|4432000|54000|11000|862000|329000|278000|6000|0|251000|1726000|16998000
24|2006|I846G|SHC CAPITAL LIMITED|Claims liabilities at beginning of period|25|88000|52000|182000|8414000|4046000|809|5260|654052|217600|248124|2214|0|180941|1302931|14091000
25|2006|I846G|SHC CAPITAL LIMITED|Net claims incurred|26|306340|28030|153116|5266529|2737719|55104|13944|347181|139305|71437|3948|0|41802|603673|9164455
26|2006|I846G|SHC CAPITAL LIMITED|Management Expenses|27|112458|16928|76826|2410026|962803|33484|27558|255031|773443|175077|2661|0|107541|1313753|4953836
27|2006|I846G|SHC CAPITAL LIMITED|Commissions|28|93838|18432|102965|1170134|319322|35398|9993|153707|968579|309659|1530|0|83775|1517250|3267332
28|2006|I846G|SHC CAPITAL LIMITED|Reinsurance commissions|29|31050|8778|523266|26733|34484|76164|9427|21545|357507|878429|8087|0|236432|1502000|2211902
29|2006|I846G|SHC CAPITAL LIMITED|Net commissions incurred|30|62788|9654|-420301|1143401|284838|-40766|566|132162|611072|-568770|-6557|0|-152657|15250|1055430
30|2006|I846G|SHC CAPITAL LIMITED|Other distribution expenses|31|17255|306|19870|49163|44397|0|0|17900|10063|64602|0|0|67614|160179|291170
31|2006|I846G|SHC CAPITAL LIMITED|Underwriting gain / (loss)|32|-146409|-2600|373724|-3120550|-2107270|55163|25170|64050|243844|807967|8785|0|322157|1446803|-3475969
32|2006|I846G|SHC CAPITAL LIMITED|F. NET INVESTMENT INCOME|33|126862|19096|86667|2718704|1086119|37773|31089|287695|872506|197500|3002|0|121314|1482017|5588327
33|2006|I846G|SHC CAPITAL LIMITED|G. OPERATING RESULT|34|-19547|16496|460391|-401846|-1021151|92936|56259|351745|1116350|1005467|11787|0|443471|2928820|2112358
34|2006|I846G|SHC CAPITAL LIMITED|Net Loss Ratio|35|0.5016010118513384|0.03994726174311746|0.5988561914383458|0.47071085233944965|0.8136540685142604|0.019031227927058567|0.09916476290628665|0.18186152280763168|0.01201835593369985|0.07907720116063359|0.02028042063094642|0|-0.08752795554371597|0.04579370317564437|0.42077271842716013
35|2006|I846G|SHC CAPITAL LIMITED|Movement in Net Claims Liabilities|36|137000|26000|15000|1861000|386000|53191|5740|207948|111400|29876|3786|0|70059|423069|2907000
|year|insurer_ref|insurer_name|Description|Row No.|Marine and Aviation - Cargo|Marine and Aviation Hull and Liability|Fire|Motor|Work Injury Compensation|Personal Accident|Health|Misc - Public Liability|Misc - Bonds|Misc - Engineering/CAR/EAR|Misc - Professional Indemnity|Misc - Credit/Political Risk|Misc - Others|Misc - Sub-Total|Total
0|2007|I846G|SHC CAPITAL LIMITED|GWP - Direct business|1|647053|177742|474280|9486903|3249651|142112|54642|745746|6894233|1250817|8245|0|553003|9452044|23684427
1|2007|I846G|SHC CAPITAL LIMITED|GWP - RI accepted in Singapore|2|18190|9782|52725|0|51134|0|0|49712|23799|57294|840|0|8665|140310|272141
2|2007|I846G|SHC CAPITAL LIMITED|GWP - RI accepted from other ASEAN countries|3|0|0|7456|0|0|0|0|1200|0|0|0|0|573|1773|9229
3|2007|I846G|SHC CAPITAL LIMITED|GWP - RI accepted from other countries|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
4|2007|I846G|SHC CAPITAL LIMITED|GWP - Total (2 to 4)|5|18190|9782|60181|0|51134|0|0|50912|23799|57294|840|0|9238|142083|281370
5|2007|I846G|SHC CAPITAL LIMITED|RI ceded - In Singapore|6|138255|61741|224636|799489|333889|47682|6392|110939|2667229|730014|7371|0|209360|3724913|5336997
6|2007|I846G|SHC CAPITAL LIMITED|RI ceded - To other ASEAN countries|7|14851|9078|47808|65497|22520|11727|0|4770|249751|118093|0|0|42392|415006|586487
7|2007|I846G|SHC CAPITAL LIMITED|RI ceded - To other countries|8|18980|8019|38705|196492|67561|9784|989|14309|246618|101503|0|0|35086|397516|738046
8|2007|I846G|SHC CAPITAL LIMITED|RI ceded - Total (6 to 8)|9|172086|78838|311149|1061478|423970|69193|7381|130018|3163598|949610|7371|0|286838|4537435|6661530
9|2007|I846G|SHC CAPITAL LIMITED|Net premiums written|10|493157|108686|223312|8425425|2876815|72919|47261|666640|3754434|358501|1714|0|275403|5056692|17304267
10|2007|I846G|SHC CAPITAL LIMITED|Premium liabilities at beginning of period|11|68560|12367|101483|3732901|2014751|22794|20864|235505|859590|160390|-160|0|68000|1323325|7297045
11|2007|I846G|SHC CAPITAL LIMITED|Premium liabilities at end of period|12|105935|47862|77645|3809000|1667000|23014|18503|344544|2806764|169702|0|0|102584|3423594|9172553
12|2007|I846G|SHC CAPITAL LIMITED|Premiums earned during the period|13|455782|73191|247150|8349326|3224566|72699|49622|557601|1807260|349189|1554|0|240819|2956423|15428759
13|2007|I846G|SHC CAPITAL LIMITED|Gross claims settled - Direct business|14|273946|0|75984|6507297|2778297|68071|27493|152507|630091|107650|6250|0|1013898|1910396|11641484
14|2007|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI accepted in Singapore|15|65|125|39238|0|79173|0|0|3313|-1539|9398|0|0|-247|10925|129526
15|2007|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI accepted from other ASEAN countries|16|0|0|0|0|0|0|0|0|0|431|0|0|151|582|582
16|2007|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI accepted from other countries|17|0|0|0|0|0|0|0|0|0|0|0|0|71736|71736|71736
17|2007|I846G|SHC CAPITAL LIMITED|Gross claims settled - Total (15 to 17)|18|65|125|39238|0|79173|0|0|3313|-1539|9829|0|0|71640|83243|201844
18|2007|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI recoveries from business ceded in Singapore|19|53091|0|32696|1261091|383358|10277|1375|14503|284610|79875|6156|0|517828|902972|2644860
19|2007|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI recoveries from business ceded to other ASEAN countries|20|739|0|6895|47509|0|700|0|0|4061|7010|0|0|40374|51445|107288
20|2007|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI recoveries from business ceded to other countries|21|4459|0|5277|5316|0|888|0|0|6438|8229|0|0|55580|70247|86187
21|2007|I846G|SHC CAPITAL LIMITED|Gross claims settled - Total (19 to 21)|22|58289|0|44868|1313916|383358|11865|1375|14503|295109|95114|6156|0|613782|1024664|2838335
22|2007|I846G|SHC CAPITAL LIMITED|Net claims settled|23|215722|125|70354|5193381|2474112|56206|26118|141317|333443|22365|94|0|471756|968975|9004993
23|2007|I846G|SHC CAPITAL LIMITED|Claims liabilities at end of period|24|405000|148000|259000|13840000|6388000|2413|11960|1343897|440685|419665|6008|0|80372|2290627|23345000
24|2007|I846G|SHC CAPITAL LIMITED|Claims liabilities at beginning of period|25|225000|78000|197000|10275000|4432000|54000|11000|862000|329000|278000|6000|0|251000|1726000|16998000
25|2007|I846G|SHC CAPITAL LIMITED|Net claims incurred|26|395722|70125|132354|8758381|4430112|4619|27078|623214|445128|164030|102|0|301128|1533602|15351993
26|2007|I846G|SHC CAPITAL LIMITED|Management Expenses|27|143790|31690|65111|2456600|838792|21261|13780|194372|1094679|104528|500|0|80299|1474378|5045402
27|2007|I846G|SHC CAPITAL LIMITED|Commissions|28|125729|27816|103703|1356782|336648|30315|5898|131886|1306740|199877|1169|0|87196|1726868|3713759
28|2007|I846G|SHC CAPITAL LIMITED|Reinsurance commissions|29|12444|11074|53351|32227|30953|11153|379|15511|581705|162363|1424|0|47763|808766|960347
29|2007|I846G|SHC CAPITAL LIMITED|Net commissions incurred|30|113285|16742|50352|1324555|305695|19162|5519|116375|725035|37514|-255|0|39433|918102|2753412
30|2007|I846G|SHC CAPITAL LIMITED|Other distribution expenses|31|22429|2434|10068|40741|37934|0|0|21525|49838|51021|0|0|14914|137298|250904
31|2007|I846G|SHC CAPITAL LIMITED|Underwriting gain / (loss)|32|-219444|-47800|-10735|-4230951|-2387967|27657|3245|-397885|-507420|-7904|1207|0|-194955|-1106957|-7972952
32|2007|I846G|SHC CAPITAL LIMITED|F. NET INVESTMENT INCOME|33|192148|42347|87008|3282777|1120886|28411|18414|259741|1462831|139682|668|0|107305|1970227|6742218
33|2007|I846G|SHC CAPITAL LIMITED|G. OPERATING RESULT|34|-27296|-5453|76273|-948174|-1267081|56068|21659|-138144|955411|131778|1875|0|-87650|863270|-1230734
34|2007|I846G|SHC CAPITAL LIMITED|Net Loss Ratio|35|0.4374306762349515|0.0011501021290690613|0.31504800458551263|0.616393950453538|0.8600177626993741|0.7708004772418711|0.5526332494022556|0.21198397935917437|0.08881312069941834|0.06238476322241779|0.05484247374562427|0|1.712966089694012|0.1916223096047772|0.5203914733863041
35|2007|I846G|SHC CAPITAL LIMITED|Movement in Net Claims Liabilities|36|180000|70000|62000|3565000|1956000|-51587|960|481897|111685|141665|8|0|-170628|564627|6347000
|year|insurer_ref|insurer_name|Description|Row No.|Marine and Aviation - Cargo|Marine and Aviation Hull and Liability|Fire|Motor|Work Injury Compensation|Personal Accident|Health|Misc - Public Liability|Misc - Bonds|Misc - Engineering/CAR/EAR|Misc - Professional Indemnity|Misc - Credit/Political Risk|Misc - Others|Misc - Sub-Total|Total
0|2008|I846G|SHC CAPITAL LIMITED|GWP - Direct business|1|1238129|14872|472002|10254478|5534552|260083|270963|681025|10550258|2803283|5000|0|479959|14519525|32564604
1|2008|I846G|SHC CAPITAL LIMITED|GWP - RI accepted in Singapore|2|26508|0|102564|0|312530|1263|0|4974|97742|424746|0|0|2797|530259|973124
2|2008|I846G|SHC CAPITAL LIMITED|GWP - RI accepted from other ASEAN countries|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
3|2008|I846G|SHC CAPITAL LIMITED|GWP - RI accepted from other countries|4|0|0|13|0|0|0|0|0|0|0|0|0|0|0|13
4|2008|I846G|SHC CAPITAL LIMITED|GWP - Total (2 to 4)|5|26508|0|102577|0|312530|1263|0|4974|97742|424746|0|0|2797|530259|973137
5|2008|I846G|SHC CAPITAL LIMITED|RI ceded - In Singapore|6|731533|7025|387621|4634431|2791014|157494|173361|291611|6049639|2390268|3710|0|273369|9008597|17891076
6|2008|I846G|SHC CAPITAL LIMITED|RI ceded - To other ASEAN countries|7|7162|20|3090|112084|54362|1616|1270|6110|43592|30046|0|0|5104|84852|264456
7|2008|I846G|SHC CAPITAL LIMITED|RI ceded - To other countries|8|3217|13|1550|196878|95234|790|508|10710|22112|23169|0|0|3164|59155|357345
8|2008|I846G|SHC CAPITAL LIMITED|RI ceded - Total (6 to 8)|9|741912|7058|392261|4943393|2940610|159900|175139|308431|6115343|2443483|3710|0|281637|9152604|18512877
9|2008|I846G|SHC CAPITAL LIMITED|Net premiums written|10|522725|7814|182318|5311085|2906472|101446|95824|377568|4532657|784546|1290|0|201119|5897180|15024864
10|2008|I846G|SHC CAPITAL LIMITED|Premium liabilities at beginning of period|11|105935|47862|77645|3809000|1667000|23014|18503|344544|2806764|169702|0|0|102584|3423594|9172553
11|2008|I846G|SHC CAPITAL LIMITED|Premium liabilities at end of period|12|136000|4000|67000|2664000|1675000|47000|61000|182000|3177000|341000|0|0|79000|3779000|8433000
12|2008|I846G|SHC CAPITAL LIMITED|Premiums earned during the period|13|492660|51676|192963|6456085|2898472|77460|53327|540112|4162421|613248|1290|0|224703|5541774|15764417
13|2008|I846G|SHC CAPITAL LIMITED|Gross claims settled - Direct business|14|320832|7676|91958|9409643|2790863|10670|11983|195318|2229091|204487|111294|0|158477|2898667|15542292
14|2008|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI accepted in Singapore|15|40|0|93657|0|128489|0|0|5248|-9862|16755|0|0|96|12237|234423
15|2008|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI accepted from other ASEAN countries|16|0|0|0|0|0|0|0|0|0|337|0|0|0|337|337
16|2008|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI accepted from other countries|17|0|0|16701|0|0|0|0|0|0|0|0|0|0|0|16701
17|2008|I846G|SHC CAPITAL LIMITED|Gross claims settled - Total (15 to 17)|18|40|0|110358|0|128489|0|0|5248|-9862|17092|0|0|96|12574|251461
18|2008|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI recoveries from business ceded in Singapore|19|101238|4478|86633|1496562|471540|4457|599|15784|1123749|136613|109625|0|79461|1465232|3630739
19|2008|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI recoveries from business ceded to other ASEAN countries|20|5021|388|6861|80223|10139|310|0|0|137668|10552|0|0|14347|162567|265509
20|2008|I846G|SHC CAPITAL LIMITED|Gross claims settled - RI recoveries from business ceded to other countries|21|3326|282|9031|0|0|233|0|0|110332|13774|0|0|11365|135471|148343
21|2008|I846G|SHC CAPITAL LIMITED|Gross claims settled - Total (19 to 21)|22|109585|5148|102525|1576785|481679|5000|599|15784|1371749|160939|109625|0|105173|1763270|4044591
22|2008|I846G|SHC CAPITAL LIMITED|Net claims settled|23|211287|2528|99791|7832858|2437673|5670|11384|184782|847480|60640|1669|0|53400|1147971|11749162
23|2008|I846G|SHC CAPITAL LIMITED|Claims liabilities at end of period|24|361000|129000|119000|11117000|5859000|13700|8800|1216000|213100|287800|3800|0|136000|1856700|19464200
24|2008|I846G|SHC CAPITAL LIMITED|Claims liabilities at beginning of period|25|405000|148000|259000|13840000|6388000|2413|11960|1343897|440685|419665|6008|0|80372|2290627|23345000
25|2008|I846G|SHC CAPITAL LIMITED|Net claims incurred|26|167287|-16472|-40209|5109858|1908673|16957|8224|56885|619895|-71225|-539|0|109028|714044|7868362
26|2008|I846G|SHC CAPITAL LIMITED|Management Expenses|27|186877|2793|65180|1898742|1039079|36267|34258|134983|1620449|280480|461|0|71901|2108274|5371470
27|2008|I846G|SHC CAPITAL LIMITED|Commissions|28|290209|2617|112789|1475450|584425|54644|44253|119674|2910082|495442|750|0|76727|3602675|6167062
28|2008|I846G|SHC CAPITAL LIMITED|Reinsurance commissions|29|227835|3166|142578|1314709|737839|54002|55558|80148|2100347|736441|907|0|31750|2949593|5485280
29|2008|I846G|SHC CAPITAL LIMITED|Net commissions incurred|30|62374|-549|-29789|160741|-153414|642|-11305|39526|809735|-240999|-157|0|44977|653082|681782
30|2008|I846G|SHC CAPITAL LIMITED|Other distribution expenses|31|22768|657|11482|10106|36388|3684|8132|12796|142316|55912|0|0|8139|219163|312380
31|2008|I846G|SHC CAPITAL LIMITED|Underwriting gain / (loss)|32|53354|65247|186299|-723362|67746|19910|14018|295922|970026|589080|1525|0|-9342|1847211|1530423
32|2008|I846G|SHC CAPITAL LIMITED|F. NET INVESTMENT INCOME|33|-85880|-1284|-29953|-872570|-477511|-16667|-15743|-62031|-744680|-128895|-212|0|-33042|-968860|-2468468
33|2008|I846G|SHC CAPITAL LIMITED|G. OPERATING RESULT|34|-32526|63963|156346|-1595932|-409765|3243|-1725|233891|225346|460185|1313|0|-42384|878351|-938045
34|2008|I846G|SHC CAPITAL LIMITED|Net Loss Ratio|35|0.40420297479554257|0.3235218837983107|0.5473458462686076|1.4748131502320148|0.83870513805053|0.05589180450683122|0.11880113541492737|0.4894005847953216|0.18697201222152923|0.07729310964557846|1.293798449612403|0|0.2655144466708764|0.1946643989160921|0.7819812545391426
35|2008|I846G|SHC CAPITAL LIMITED|Movement in Net Claims Liabilities|36|-44000|-19000|-140000|-2723000|-529000|11287|-3160|-127897|-227585|-131865|-2208|0|55628|-433927|-3880800
|year|insurer_ref|insurer_name|Description|Row No.|Marine and Aviation - Cargo|Marine and Aviation Hull and Liability|Fire|Motor|Work Injury Compensation|Personal Accident|Health|Misc - Public Liability|Misc - Bonds|Misc - Engineering/CAR/EAR|Misc - Professional Indemnity|Misc - Credit/Political Risk|Misc - Others|Misc - Sub-Total|Total
0|2009|I846G|SHC CAPITAL LIMITED|GWP - Direct business|1|500222|12760|505707|22157210|5696139|262933|833196|815953|9796663|2584812|0|0|451221|13648649|43616816
1|2009|I846G|SHC CAPITAL LIMITED|GWP - RI accepted in Singapore|2|19831|0|325143|0|241932|2665|0|35956|731955|276110|0|0|35773|1079794|1669365
2|2009|I846G|SHC CAPITAL LIMITED|GWP - RI accepted from other ASEAN countries|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
3|2009|I846G|SHC CAPITAL LIMITED|GWP - RI accepted from other countries|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
4|2009|I846G|SHC CAPITAL LIMITED|GWP - Total (2 to 4)|5|19831|0|325143|0|241932|2665|0|35956|731955|276110|0|0|35773|1079794|1669365
5|2009|I846G|SHC CAPITAL LIMITED|RI ceded - In Singapore|6|226812|3375|475978|7993336|2852715|113875|387695|357937|4559471|1754959|0|0|220945|6893312|18947098
6|2009|I846G|SHC CAPITAL LIMITED|RI ceded - To other ASEAN countries|7|26786|0|44353|198083|50579|13452|45957|6729|454682|153749|0|0|25499|640659|1019869
